NumberOfThreads, TotalCreationTime, TotalRSS
8000, 0.121588, 67776
8000, 0.129791, 67768
8000, 0.129075, 67752
8000, 0.121651, 67688
8000, 0.125120, 67708
8000, 0.125555, 67708
8000, 0.134980, 67700
8000, 0.127865, 67728
8000, 0.121805, 67708
8000, 0.127983, 67680
8000, 0.119224, 67768
8000, 0.126361, 67708
8000, 0.119841, 67776
8000, 0.120716, 67708
8000, 0.121423, 67776
8000, 0.125799, 67776
8000, 0.123265, 67680
8000, 0.125886, 67768
8000, 0.123802, 67780
8000, 0.120301, 67680
8000, 0.124850, 67728
8000, 0.125701, 67768
8000, 0.125177, 67768
8000, 0.129669, 67672
8000, 0.120933, 67768
8000, 0.123823, 67712
8000, 0.121772, 67728
8000, 0.126035, 67708
8000, 0.119385, 67768
8000, 0.126024, 67680
8000, 0.121620, 67708
8000, 0.124471, 67688
8000, 0.119224, 67768
8000, 0.122742, 67752
8000, 0.123206, 67636
8000, 0.120244, 67728
8000, 0.128753, 67636
8000, 0.125135, 67716
8000, 0.128383, 67708
8000, 0.127170, 67708
8000, 0.126337, 67768
8000, 0.128221, 67708
8000, 0.138795, 67672
8000, 0.122089, 67636
8000, 0.125343, 67700
8000, 0.125329, 67768
8000, 0.122364, 67636
8000, 0.126904, 67700
8000, 0.122661, 67636
8000, 0.118049, 67764
8000, 0.121056, 67680
8000, 0.127217, 67712
8000, 0.124097, 67768
8000, 0.123672, 67768
8000, 0.127497, 67768
8000, 0.123168, 67708
8000, 0.122042, 67728
8000, 0.129898, 67768
8000, 0.125267, 67768
8000, 0.121891, 67752
8000, 0.123246, 67680
8000, 0.125190, 67672
8000, 0.121189, 67768
8000, 0.122121, 67712
8000, 0.126238, 67776
8000, 0.123149, 67728
8000, 0.121936, 67768
8000, 0.130328, 67764
8000, 0.125358, 67752
8000, 0.123995, 67708
8000, 0.126022, 67720
8000, 0.121743, 67688
8000, 0.121856, 67680
9000, 0.143898, 75892
9000, 0.139711, 75952
9000, 0.144917, 75884
9000, 0.142251, 75892
9000, 0.141262, 75892
9000, 0.138968, 75872
9000, 0.141742, 75912
9000, 0.138713, 75864
9000, 0.142438, 75872
9000, 0.142579, 75856
9000, 0.148237, 75960
9000, 0.137279, 75892
9000, 0.143116, 75948
9000, 0.139650, 75864
9000, 0.141913, 75952
9000, 0.135677, 75952
9000, 0.142593, 75820
9000, 0.141984, 75892
9000, 0.143040, 75892
9000, 0.144458, 75900
9000, 0.142591, 75952
9000, 0.141905, 75856
9000, 0.144785, 75884
9000, 0.143932, 75892
9000, 0.142080, 75856
9000, 0.142211, 75884
9000, 0.151368, 75884
9000, 0.145710, 75960
9000, 0.141336, 75912
9000, 0.141959, 75872
9000, 0.147021, 75948
9000, 0.139020, 75952
9000, 0.135523, 75872
9000, 0.144456, 75892
9000, 0.143953, 75936
9000, 0.137176, 75960
9000, 0.145749, 75952
9000, 0.136557, 75892
9000, 0.142036, 75904
9000, 0.140972, 75912
9000, 0.139604, 75856
9000, 0.138249, 75872
9000, 0.144785, 75952
9000, 0.137853, 75820
9000, 0.141521, 75892
9000, 0.137851, 75892
9000, 0.139861, 75912
9000, 0.140833, 75884
9000, 0.135214, 75900
9000, 0.140784, 75900
9000, 0.146231, 75912
9000, 0.141253, 75960
9000, 0.144377, 75936
9000, 0.143375, 75960
9000, 0.142466, 75952
9000, 0.142782, 75884
