NumberCreated, TotalCreationTime, TotalRSS
80, 0.005587, 6992
80, 0.005582, 7148
80, 0.002422, 7136
80, 0.006047, 7076
80, 0.003435, 7136
80, 0.003724, 7024
80, 0.002873, 7024
80, 0.003102, 6984
80, 0.002436, 6988
80, 0.005758, 7136
80, 0.005871, 6992
80, 0.005829, 7032
80, 0.005357, 6992
80, 0.005851, 7132
80, 0.003934, 6988
80, 0.003821, 7032
80, 0.002511, 7032
80, 0.004007, 6984
80, 0.002455, 7148
80, 0.002257, 6984
80, 0.003022, 6984
80, 0.004067, 7032
80, 0.004285, 7044
80, 0.003271, 6988
80, 0.003258, 7136
80, 0.002688, 7136
80, 0.002454, 7044
80, 0.004532, 7132
80, 0.005790, 7092
80, 0.003020, 7092
80, 0.002789, 7092
80, 0.003261, 7064
80, 0.005238, 6988
80, 0.002646, 7076
80, 0.004160, 7136
80, 0.003330, 6984
80, 0.005248, 7064
80, 0.004254, 7148
80, 0.002726, 7148
80, 0.002597, 7060
80, 0.002723, 6988
80, 0.002853, 6984
80, 0.005373, 7136
80, 0.002491, 7208
80, 0.004118, 7092
80, 0.003842, 6984
80, 0.004712, 7132
80, 0.004904, 6984
80, 0.004843, 6988
80, 0.006694, 7136
80, 0.006142, 7132
80, 0.002936, 6988
80, 0.005244, 7148
80, 0.005357, 7148
80, 0.004631, 7132
80, 0.002641, 6988
80, 0.005300, 7148
80, 0.003612, 7136
80, 0.002561, 7076
80, 0.005165, 6984
80, 0.005116, 7208
80, 0.004464, 6988
80, 0.004631, 7060
80, 0.005741, 6992
80, 0.002134, 7092
80, 0.005353, 7044
80, 0.005655, 6984
80, 0.005211, 7092
80, 0.001978, 6984
80, 0.003760, 7308
80, 0.005782, 7060
80, 0.006183, 7132
80, 0.004035, 7060
80, 0.005960, 7148
80, 0.003168, 7312
80, 0.002521, 6984
80, 0.005955, 7132
80, 0.004519, 7136
80, 0.004547, 7148
80, 0.003364, 6988
80, 0.005202, 7044
80, 0.005552, 7148
80, 0.005381, 7148
80, 0.005602, 7064
80, 0.002730, 6988
80, 0.002134, 6992
